doi	depth	finding	dichotomy_use	limitation
10.1016/j.icarus.2022.115395	abstract	Strength-inclusive impact models with crust production favour a southern impact in their explored parameter space.	Challenges the assumption that an impact must excavate the northern hemisphere.	Preferred impact sizes and geometry depend on melting, strength and crust-production prescriptions.
10.1016/j.icarus.2024.116137	abstract	Coupled impact and long-term mantle models build thicker crust on the impacted southern hemisphere.	Tests an impact followed by geological evolution rather than an instantaneous crater alone.	Model preference is conditional on impact parameters and mantle viscosity; data are available on request.
10.1029/2022je007472	abstract	Crustal insulation and melt extraction can amplify a long-wavelength crustal thickness perturbation.	Offers a feedback mechanism that can enlarge an initially small asymmetry.	Parameterized thermal models do not establish the origin or uniqueness of the initial perturbation.
10.1029/2010je003658	sections	Boundary stratigraphy and structure distinguish an ancient dichotomy from younger erosion and faulting.	Prevents dating primordial formation from the age of young boundary landforms.	Regional exposures and resurfacing limit extrapolation around the entire planet.
10.1029/94je00216	abstract	Proposes northern crustal recycling and spreading, with testable structural and gravity predictions.	Retains early plate tectonics as a historical alternative to impact and stagnant-lid convection.	Proposed tectonic reconstructions are interpretations, not confirmed Martian plate boundaries.
10.1126/science.abf8966	metadata	InSight seismic observations constrain crustal layering and thickness beneath the lander.	Provides the local anchor for global gravity-based crustal models.	Bibliographic record and editorial summary checked; original inversion and alternatives need detailed review.
10.1029/2022je007298	sections	Combines the InSight crustal anchor with gravity and topography to generate global crustal models.	Quantifies how much hemispheric contrast must be explained by crustal thickness and density.	Absolute thickness is strongly conditional on the adopted seismic layering and crustal density.
10.1029/2023gl103482	abstract	Multi-orbit surface waves constrain average crustal thickness and limit large north–south density contrasts in the tested models.	Adds constraints beyond the immediate InSight column.	Path coverage and the tested structural parameterization remain important; models share underlying datasets.
10.1029/2023gl105701	abstract	Joint inversion of marsquake and geophysical information admits alternative thermal and crustal structures.	Tests compatibility between seismic structure and global geophysical constraints.	Event locations, temperature and structure trade off; this is not a second global seismic network.
10.1029/2024gl110921	abstract	Different attenuation inferred along Terra Cimmeria and Cerberus paths is interpreted as a thermal contrast.	Provides a potential mantle-related expression of the dichotomy.	Limited paths, scattering and source effects complicate temperature inference; present contrast does not uniquely date its cause.
10.1038/s41586-026-10893-x	sections	Orbiter tracking reveals asymmetric seasonal tidal gravity; inversion supports a hotter southern mantle.	Adds a present-day interior constraint; atmospheric pressure loading is explicitly modelled with MCD.	Convection and crustal insulation remain alternatives. Atmospheric and elastic-model sensitivity must accompany the inversion.
10.1126/science.abi7730	abstract	Initial InSight reflected-wave analysis supported a large liquid core.	Constrains thermal evolution and possible dynamo histories.	Later molten-layer interpretations revise the inferred core size; these estimates must not be averaged as independent measurements.
10.1038/s41586-023-06601-8	abstract	An enriched molten silicate layer above a smaller liquid core reconciles seismic and geophysical constraints.	Changes the thermal boundary conditions for early dynamo and mantle evolution models.	Inversion depends on assumed composition and layer structure; a liquid layer alone does not imply an active dynamo.
10.1038/s41586-025-09361-9	abstract	Seismic phases are interpreted as evidence for a roughly 600-km-radius solid inner core.	Requires testing present-day interior models separately from early full-sphere dynamo models.	Phase identification and inversion assumptions matter. Consult the linked author correction before reuse.
10.1038/s41586-025-09981-1	sections	Corrects a Methods citation for the effect of light elements on liquid-core properties.	Keeps the inner-core source trail current.	The notice corrects a reference, not the reported inner-core radius; it is not a separate independent result.
10.1029/2026gl122393	abstract	Orbital tracking analysis provides a constraint on the contrast in bulk crustal density between hemispheres.	Helps distinguish a thickness contrast from a density contrast.	Numerical densities were not reliably preserved in harvested abstract equations; consult the original figures before quantitative reuse.
10.1029/2024je008486	abstract	Thermal models explore differentiation and partial melting of the thick southern crust.	Connects heat-producing elements, crust thickness and lithological diversity.	Conditional petrological and thermal calculations do not map observed melt throughout the south.
10.1002/2017je005431	sections	Two-hemisphere thermal models connect crustal thickness and radiogenic enrichment to different lithospheric temperatures and elastic thicknesses.	Provides a thermal benchmark for testing magnetic acquisition and retention in the same crustal histories.	Sections 5.5, 5.6 and 6 consulted. Polar elastic thickness need not represent an entire hemisphere; a well-mixed mantle and parameterized columns omit spatial dynamics.
10.1038/s41550-026-02907-5	sections	Seismic and petrological modelling interprets a lower-crustal layer beneath InSight as melt-depleted ultramafic material.	Adds lithological differentiation without requiring plate tectonics.	A local seismic anchor and phase-equilibrium models do not establish global lower-crustal uniformity.
10.1126/science.284.5415.790	abstract	Mars Global Surveyor measurements reveal strong, spatially heterogeneous crustal remanent fields.	Establishes magnetization as a major constraint on early crustal evolution.	Weak fields above basins are not a unique clock for dynamo cessation.
10.1126/science.284.5415.794	abstract	Alternating, elongated magnetic anomalies were interpreted in relation to ancient tectonic processes.	Tests whether magnetic spatial organization contains evidence of crustal mobility.	Orbital stripes alone do not demonstrate seafloor spreading or Earth-like plate tectonics.
10.1029/2018je005854	abstract	Combines MGS and MAVEN observations into a global spherical-harmonic crustal-field model.	Provides a reproducible field layer for comparison with geology and crustal thickness.	Altitude and spatial bandwidth filter the signal; downward continuation is not direct surface measurement.
10.1038/s41561-020-0537-x	metadata	Reports crustal and time-varying magnetic fields measured at the InSight landing site.	Links a ground measurement to the orbital magnetic picture.	Metadata checked; detailed separation of external and crustal fields needs full-text extraction.
10.1038/s41550-023-02008-7	abstract	Zhurong measurements reveal weak local crustal fields along a traverse in Utopia Planitia.	Adds a rare northern ground constraint independent of orbital altitude smoothing.	A short traverse is not representative of the entire northern hemisphere; local demagnetization is an alternative.
10.1126/sciadv.aba0513	abstract	Magnetic signals associated with ancient and younger terrains are interpreted as evidence of early and prolonged dynamo activity.	Challenges a single shutdown date inferred only from weakly magnetized large basins.	Geological ages and the depths and histories of magnetic sources remain uncertain.
10.1038/s41467-024-51092-4	sections	Cooling and polarity reversals can suppress orbital anomalies above impact basins despite an active dynamo.	Tests whether weak basin magnetism actually requires post-dynamo formation.	The explored basin-size range is much smaller than Borealis; a direct extrapolation is not validated.
10.1126/science.1161119	abstract	Hemispheric core heat-flow forcing can produce a strongly asymmetric dynamo.	Offers a source-field alternative to selective destruction of crustal magnetization.	Requires compatible core–mantle thermal forcing and preservation of the resulting crustal record.
10.1029/2024gl113926	abstract	Explores hemispherical magnetic-field generation in dynamo models without an inner core.	Tests how early core geometry affects asymmetric magnetism.	An early fully liquid core and a present solid inner core are different temporal hypotheses.
10.1002/jgre.20085	abstract	Models impact-induced magnetic changes through excavation, heating and shock.	Helps distinguish field absence from destruction or removal of magnetic carriers.	Mineralogy and impact physics alter demagnetization efficiency; simplified field histories are conditional.
10.1029/2020gl090379	abstract	Compositional variations are investigated as a contributor to strong regional crustal magnetic anomalies.	Introduces carrier abundance alongside dynamo intensity and thermal history.	Surface spectra sample different depths from orbital magnetic sources; correlation does not fix causality.
10.3389/fspas.2022.895362	abstract	Reviews the gap between orbital, surface and sample-scale magnetic observations.	Organizes the scale mismatch that a joint dichotomy study must address.	A review supplies synthesis rather than an independent measurement for model scoring.
10.1126/sciadv.ade9071	abstract	Micromagnetic observations in ALH 84001 are interpreted as records of ancient polarity reversals.	Constrains ancient field behaviour during impact-heating episodes.	Age assignment, magnetic carriers and resetting histories must be evaluated before inferring dynamo duration.
10.1029/2008gl035585	abstract	ALH 84001 paleointensity work supports a substantial ancient Martian magnetic field.	Supplies a sample-scale constraint complementary to orbital remanent anomalies.	Uncertain acquisition history and unknown original location prevent a direct hemispheric map.
10.1016/s0012-821x(02)00728-8	abstract	ALH 84001 carbonate-related remanence is investigated as an ancient paleofield recorder.	Links mineral formation, low-temperature history and early magnetism.	Mineral-scale recording and later overprints must be separated; meteorite crystallization age is not automatically magnetic age.
10.1111/j.1945-5100.2005.tb00961.x	abstract	Martian meteorite families contain different magnetic carriers, including titanomagnetite and pyrrhotite.	Shows why magnetization cannot be interpreted solely as field intensity.	The measured meteorite collection is lithologically and statistically biased.
10.1002/2014gl060464	sections	NWA 7034 contains abundant magnetic oxides capable of carrying strong crustal remanence.	Provides a candidate lithological analogue for strong Martian anomalies.	Rock-magnetic capacity remains informative even when natural remanence is terrestrially contaminated; the two must not be conflated.
10.1029/2022je007464	sections	Experiments and nine paired NWA 7034 stones demonstrate destructive remagnetization by collectors' hand magnets.	Makes collection history a mandatory quality field in any meteorite paleofield synthesis.	The studied stones cannot provide pristine Martian paleointensity; this does not negate all mineralogical information or every future sample.
10.1111/maps.12172	abstract	Tissint records a weak post-shock field interpreted as a local Martian crustal field.	Demonstrates magnetic recording long after the early dynamo interval.	A young weak paleofield need not imply a young global dynamo.
10.1029/2021je006856	abstract	Oriented subsamples of MIL 03346 preserve a tested remanence and an approximately 5-microtesla paleointensity.	Provides a nakhlite constraint with explicit laboratory preservation tests.	The signal can be explained by older magnetized crust; mutually oriented subsamples do not recover absolute Martian orientation.
10.1073/pnas.2404259121	sections	Reviews how geologically contextualized, oriented returned samples could resolve magnetic history and thermal or aqueous alteration.	Identifies missing ages, orientations and source lithologies in the current evidence.	Existing meteorites are sparse and commonly reset. Proposed sample-return science is not an accomplished laboratory measurement.
10.1029/2024je008505	abstract	Perseverance observations identify potential iron-oxide magnetic carriers in igneous rocks.	Helps prioritize contextualized samples for future rock-magnetic work.	Spectral identification of possible carriers is not a direct ancient paleofield measurement.
10.1029/2020je006523	abstract	Reviews Martian meteorite petrology, isotopes, ages and sampling biases.	Provides the geochemical context needed to interpret magnetic results and mantle reservoirs.	Meteorite names, pairing groups and launch events are not equivalent independent samples.
10.1126/sciadv.aap8306	sections	Multiple chronometers constrain ancient near-surface material and later heterogeneous heating in the NWA 7034 source terrain.	Conditional survival and burial constraints can test event sequences predicted by dichotomy origin models.	Dichotomy-age discussion consulted. Local provenance, burial and thermal assumptions prevent a universal formation date; crystallization and later metamorphism are distinct.
10.1038/s41586-018-0222-z	abstract	Ancient zircon ages and hafnium isotopes imply very early extraction and subsequent reworking of a primordial crust.	Constrains how quickly initial crustal reservoirs formed.	Reservoir model ages differ from measured crystallization ages and do not directly date the hemispheric boundary.
10.1038/s41467-022-31444-8	abstract	Crater and terrain analysis identifies a candidate ejection site for the NWA 7034 family in the southern highlands.	Offers a route from meteorite laboratory data to geological context.	Provenance is inferred, with multiple excavation and reworking episodes; it is not a known collection coordinate on Mars.
10.1126/sciadv.adn2378	abstract	Links groups of Martian meteorites to candidate source craters through ejection and geological modelling.	Allows explicit provenance hypotheses for comparing meteorites with mapped provinces.	Meteorites from the same launch group must not be counted as independent regional observations.
10.1126/sciadv.abl7497	abstract	Shock microstructures in ancient zircon record a high-pressure impact after zircon formation.	Tests early bombardment histories and preservation of primordial crust.	An old grain age alone does not date the later shock event.
10.1126/sciadv.adq3694	abstract	Nanometre-scale mineral and chemical evidence in ancient zircon is interpreted as early hydrothermal activity.	Links water–rock interaction to early crustal modification and possible magnetic carriers.	A local grain-scale environment does not establish a planet-wide ocean or magnetic field.
10.1126/sciadv.aed5787	abstract	Experiments explore buoyant differentiated protocrust formation during oxidized magma-ocean crystallization.	Expands possible initial crustal compositions for dichotomy models.	Laboratory conditions and extrapolation to a global magma ocean are model assumptions, not direct mapping of Mars.
10.1038/s41561-024-01634-8	abstract	Erosional remnants near the dichotomy boundary indicate substantial removal of ancient highland material.	Separates retreat of the visible boundary from the original crustal boundary.	Regional erosion does not by itself explain the initial hemispheric crustal contrast.
10.1029/2025je009393	abstract	Orbital observations document diverse clay-bearing terrains along the dichotomy region.	Tests heterogeneous alteration histories and substrate composition.	Spectral exposure, dust and observational coverage bias comparisons between hemispheres.
10.1029/2025je008931	abstract	Geological mapping reconstructs volcanic, tectonic and aqueous modifications in southern Utopia.	Provides a regional northern-lowland case study for separating formation from resurfacing.	Regional stratigraphic interpretations cannot be generalized to all northern plains.
10.1029/2019gl083046	abstract	Delta elevations in the examined region are consistent with local closed-basin lakes rather than one ocean level.	Tests shoreline interpretations used to reconstruct later northern hydrology.	The regional result does not exclude every proposed Martian ocean at every epoch.
10.1016/j.epsl.2014.03.027	abstract	Hydrogen-isotope measurements in meteorites constrain model histories of Martian water loss and storage.	Connects atmospheric evolution with crustal water reservoirs.	Inferred inventories depend on fractionation and reservoir-exchange assumptions; they do not identify the dichotomy-forming mechanism.
10.1029/2018gl079972	abstract	Plasma simulations show that a weak intrinsic dipole can increase ion escape under the tested conditions.	Challenges a simple field-off, atmosphere-lost causal chain.	The dependence varies with field strength and solar conditions; present-day simulations are not a complete early-Mars loss history.
10.1016/j.pepi.2012.09.008	sections	Models ejecta burial and heating of the southern crust and considers a convection-based origin for magnetic lineations.	Prior work directly connects dichotomy formation scenarios to magnetic survival; any new consistency test must engage with it.	Discussion and conclusion consulted. Uniform ejecta and assumed thermal/recording histories restrict generality; later reacquisition must also be considered.
10.1016/j.icarus.2009.05.021	abstract	Early geotherms inferred for Terra Cimmeria are used to evaluate candidate magnetic carriers and magnetized depths.	Establishes prior thermal-carrier consistency tests that a modern joint analysis should extend rather than claim to invent.	Abstract consulted with limited section previews. Inferred heat flow, loading age and source depths are conditional; Curie depth is not a directly measured magnetic boundary.
10.1016/j.pepi.2013.01.001	abstract	Numerical hemispherical dynamos driven by imposed core-mantle boundary heat-flux variations can reverse rapidly.	A hemispheric field explanation must satisfy time-integrated magnetic recording as well as spatial field contrast.	Author-hosted abstract consulted. The reported reversal problem concerns this simulated regime, not every possible Martian dynamo.
10.1029/2020je006690	abstract	Localized magnetic spectra are interpreted as different equivalent source depths in northern lowlands and southern highlands.	Depth estimates offer a target for joint thermal and magnetic history tests.	Abstract consulted. Source geometry and spectral localization affect equivalent depths; these estimates reuse the Langlais field model and are not independent observations of layer boundaries.
